FRANCHISE,PLAYER,INJ,SALARY,YEARS,CONTRACT,ROSTER
Chicago Bears,"Aubrey, Brandon DAL PK",,$3.15,5,2025 iEXT,ACTIVE_ROSTER
Chicago Bears,"Cole, A.J. LVR PN",,$2.05,1,2025 UFA,ACTIVE_ROSTER
Chicago Bears,"Gillikin, Blake ARI PN",Questionable,$2.00,1,2026 UFA,ACTIVE_ROSTER
Chicago Bears,"Hill, B.J. CIN DT",,$2.00,1,2026 UFA,ACTIVE_ROSTER
Chicago Bears,"Simmons, Jeffery TEN DT",Questionable,$20.43,2,2025 iEXT,ACTIVE_ROSTER
Chicago Bears,"Togiai, Tommy HOU DT",,$7.20,3,2026 UFA,ACTIVE_ROSTER
Chicago Bears,"Gardeck, Dennis JAC DE",,$1.10,1,2026 UFA,ACTIVE_ROSTER
Chicago Bears,"Highsmith, Alex PIT DE",,$7.01,2,2022 oEXT,ACTIVE_ROSTER
Chicago Bears,"Karlaftis, George KCC DE",,$3.91,4,2025 iEXT,ACTIVE_ROSTER
Chicago Bears,"Young, Byron LAR DE",,$5.81,1,2023 3.19^,ACTIVE_ROSTER
Chicago Bears,"Cashman, Blake MIN LB",,$7.50,1,2026 UFA,ACTIVE_ROSTER
Chicago Bears,"Dean, Nakobe LVR LB",,$4.75,2,2026 UFA,ACTIVE_ROSTER
Chicago Bears,"Edmunds, Tremaine NYG LB",,$3.40,1,2023 UFA,ACTIVE_ROSTER
Chicago Bears,"Jackson, D'Marco CHI LB",,$1.10,1,2026 UFA,ACTIVE_ROSTER
Chicago Bears,"White, Devin LVR LB",,$1.10,1,2026 UFA,ACTIVE_ROSTER
Chicago Bears,"Adebo, Paulson NYG CB",,$2.00,1,2026 UFA,ACTIVE_ROSTER
Chicago Bears,"Bland, DaRon DAL CB",Questionable,$6.87,2,2026 oEXT,ACTIVE_ROSTER
Chicago Bears,"Davis, Carlton NEP CB",,$2.00,1,2026 UFA,ACTIVE_ROSTER
Chicago Bears,"Humphrey, Marlon BAL CB",,$4.28,2,2026 UFA,ACTIVE_ROSTER
Chicago Bears,"Reed, D.J. DET CB",,$2.00,1,2026 UFA,ACTIVE_ROSTER
Chicago Bears,"Byard, Kevin NEP S",,$4.18,1,2025 UFA,ACTIVE_ROSTER
Chicago Bears,"Bynum, Camryn IND S",,$6.27,1,2025 UFA,ACTIVE_ROSTER
Chicago Bears,"Hooker, Amani TEN S",,$2.00,1,2026 UFA,ACTIVE_ROSTER
Chicago Bears,"Jones, Brandon DEN S",Questionable,$2.00,1,2026 UFA,ACTIVE_ROSTER
Chicago Bears,"Wingard, Andrew ARI S",,$1.10,1,2026 UFA,ACTIVE_ROSTER
Chicago Bears,"Bagent, Tyson CHI QB",,$1.10,1,2026 R/F,TAXI_SQUAD
Chicago Bears,"Mills, Davis HOU QB",,$1.10,1,2026 UFA,TAXI_SQUAD
Chicago Bears,"Winston, Jameis NYG QB",,$1.10,1,2026 UFA,TAXI_SQUAD
Chicago Bears,"James, Jordan SFO RB",,$1.14,3,2025 4.05,TAXI_SQUAD
Chicago Bears,"McGowan, Seth IND RB",,$0.94,3,2026 UDFA,TAXI_SQUAD
Chicago Bears,"Mixon, Joe FA RB",Questionable,$1.10,1,2026 UFA,TAXI_SQUAD
Chicago Bears,"Lance, Bryce NOS WR",,$1.02,4,2026 4.20,TAXI_SQUAD
Chicago Bears,"Lane, Jaylin WAS WR",,$0.99,2,2025 UDFA,TAXI_SQUAD
Chicago Bears,"Royals, Jalen KCC WR",,$1.24,3,2025 3.16,TAXI_SQUAD
Chicago Bears,"Hunter, Lee CAR DT",,$1.02,4,2026 4.21,TAXI_SQUAD
Chicago Bears,"Redmond, Jalen MIN DT",,$1.10,1,2026 ERFA,TAXI_SQUAD
Chicago Bears,"Wilkins, Christian FA DT",Questionable,$1.10,1,2026 UFA,TAXI_SQUAD
Chicago Bears,"Jones, Patrick CAR DE",,$1.10,1,2026 R/F,TAXI_SQUAD
Chicago Bears,"Mafe, Boye CIN DE",,$1.10,1,2026 R/F,TAXI_SQUAD
Chicago Bears,"Boettcher, Bryce IND LB",,$0.94,3,2026 UDFA,TAXI_SQUAD
Chicago Bears,"Jewell, Josey FA LB",Questionable,$1.10,1,2026 UFA,TAXI_SQUAD
Chicago Bears,"McDuffie, Isaiah GBP LB",,$1.10,1,2026 ERFA,TAXI_SQUAD
Chicago Bears,"Miller, Ventrell JAC LB",,$1.10,1,2026 R/F,TAXI_SQUAD
Chicago Bears,"Pratt, Germaine FA LB",,$1.10,1,2026 UFA,TAXI_SQUAD
Chicago Bears,"Simon, Cody ARI LB",,$1.10,1,2026 ERFA,TAXI_SQUAD
Chicago Bears,"Wilson, Payton PIT LB",,$1.24,2,2024 3.18,TAXI_SQUAD
Chicago Bears,"Canady, Jadon KCC CB",,$0.94,3,2026 UDFA,TAXI_SQUAD
Chicago Bears,"Johnson, Chris MIA CB",,$1.12,4,2026 4.04,TAXI_SQUAD
Chicago Bears,"Moore, Devin DAL CB",,$0.94,3,2026 UDFA,TAXI_SQUAD
Chicago Bears,"Morrison, Benjamin TBB CB",Questionable,$1.10,1,2026 R/F,TAXI_SQUAD
Chicago Bears,"Neal, Julian SEA CB",,$0.94,3,2026 UDFA,TAXI_SQUAD
Chicago Bears,"Pierre, James MIN CB",,$1.10,1,2026 ERFA,TAXI_SQUAD
Chicago Bears,"Mukuba, Andrew PHI S",,$1.11,3,2025 4.09,TAXI_SQUAD
Chicago Bears,"Murray, Eric JAC S",,$1.10,1,2025 R/F,TAXI_SQUAD
Detroit Lions,"Howard, Will PIT QB",,$1.06,3,2025 5.04,ACTIVE_ROSTER
Detroit Lions,"Hurts, Jalen PHI QB",,$25.87,4,2024 iEXT,ACTIVE_ROSTER
Detroit Lions,"Rodgers, Aaron PIT QB",,$8.70,1,2026 UFA,ACTIVE_ROSTER
Detroit Lions,"Simpson, Ty LAR QB",,$2.91,4,2026 1.14,ACTIVE_ROSTER
Detroit Lions,"Benson, Trey ARI RB",Questionable,$2.46,2,2024 1.16,ACTIVE_ROSTER
Detroit Lions,"Coleman, Jonah DEN RB",,$1.81,4,2026 2.10,ACTIVE_ROSTER
Detroit Lions,"Cook, James BUF RB",,$13.73,1,2025 iEXT,ACTIVE_ROSTER
Detroit Lions,"Hubbard, Chuba CAR RB",,$6.20,1,2026 UFA,ACTIVE_ROSTER
Detroit Lions,"Jones, Aaron MIN RB",,$3.30,1,2026 UFA,ACTIVE_ROSTER
Detroit Lions,"Aiyuk, Brandon SFO WR",Holdout,$7.20,3,2026 B/R,ACTIVE_ROSTER
Detroit Lions,"Boutte, Kayshon NEP WR",,$5.78,3,2026 SRFA,ACTIVE_ROSTER
Detroit Lions,"Kupp, Cooper SEA WR",,$2.00,1,2026 UFA,ACTIVE_ROSTER
Detroit Lions,"McMillan, Tetairoa CAR WR",Questionable,$6.72,3,2025 1.04,ACTIVE_ROSTER
Detroit Lions,"Shakir, Khalil BUF WR",,$7.98,3,2025 iEXT,ACTIVE_ROSTER
Detroit Lions,"Smith, DeVonta PHI WR",,$20.53,3,2024 iEXT,ACTIVE_ROSTER
Detroit Lions,"TeSlaa, Isaac DET WR",,$1.33,3,2025 3.10,ACTIVE_ROSTER
Detroit Lions,"Thompson, Brenen LAC WR",,$1.07,4,2026 4.10,ACTIVE_ROSTER
Detroit Lions,"Williams, Kyle NEP WR",,$1.97,3,2025 2.07,ACTIVE_ROSTER
Detroit Lions,"Ferguson, Terrance LAR TE",,$1.76,3,2025 2.11,ACTIVE_ROSTER
Detroit Lions,"Hibner, Matthew BAL TE",,$0.98,4,2026 5.12,ACTIVE_ROSTER
Detroit Lions,"Parkinson, Colby LAR TE",,$2.00,1,2026 UFA,ACTIVE_ROSTER
Detroit Lions,"Borregales, Andres NEP PK",,$1.10,1,2026 ERFA,ACTIVE_ROSTER
Detroit Lions,"Baringer, Bryce NEP PN",,$1.14,1,2023 5.18,ACTIVE_ROSTER
Detroit Lions,"Donald, Aaron FA DT",,$3.00,1,2026 UFA,ACTIVE_ROSTER
Detroit Lions,"McNeill, Alim DET DT",Questionable,$2.06,2,2024 iEXT,ACTIVE_ROSTER
Detroit Lions,"Turner, Kobie LAR DT",Questionable,$11.00,3,2026 SRFA,ACTIVE_ROSTER
Detroit Lions,"Williams, Tyleik DET DT",,$1.09,3,2025 4.14,ACTIVE_ROSTER
Detroit Lions,"Woods, Peter KCC DT",,$1.30,4,2026 3.10,ACTIVE_ROSTER
Detroit Lions,"Bain Jr., Rueben TBB DE",,$3.80,4,2026 1.10,ACTIVE_ROSTER
Detroit Lions,"Crosby, Maxx LVR DE",Questionable,$26.66,3,2024 iEXT,ACTIVE_ROSTER
Detroit Lions,"Elliss, Jonah DEN DE",,$1.10,2,2024 4.23,ACTIVE_ROSTER
Detroit Lions,"Ossai, Joseph NYJ DE",,$3.67,2,2026 ORFA3,ACTIVE_ROSTER
Detroit Lions,"Wright, Alex CLE DE",,$3.95,2,2025 iEXT,ACTIVE_ROSTER
Detroit Lions,"Anzalone, Alex TBB LB",,$2.00,1,2026 UFA,ACTIVE_ROSTER
Detroit Lions,"Baun, Zack PHI LB",,$6.00,1,2026 UFA,ACTIVE_ROSTER
Detroit Lions,"Edwards, T.J. CHI LB",,$2.70,1,2026 UFA,ACTIVE_ROSTER
Detroit Lions,"Overshown, DeMarvion DAL LB",,$5.17,1,2024 iEXT,ACTIVE_ROSTER
Detroit Lions,"Walker, Quay LVR LB",,$5.70,2,2025 iEXT,ACTIVE_ROSTER
Detroit Lions,"Horn, Jaycee CAR CB",Questionable,$2.00,1,2026 UFA,ACTIVE_ROSTER
Detroit Lions,"Surtain II, Patrick DEN CB",,$2.00,1,2026 UFA,ACTIVE_ROSTER
Detroit Lions,"Brown, Ji'Ayir SFO S",Questionable,$1.17,1,2023 5.10,ACTIVE_ROSTER
Detroit Lions,"Chinn, Jeremy LVR S",,$2.10,1,2026 UFA,ACTIVE_ROSTER
Detroit Lions,"Dugger, Kyle CIN S",,$5.72,1,2023 SRFA,ACTIVE_ROSTER
Detroit Lions,"Gardner-Johnson, Chauncey BUF S",,$2.00,1,2026 UFA,ACTIVE_ROSTER
Detroit Lions,"Hufanga, Talanoa DEN S",,$5.92,1,2024 SRFA,ACTIVE_ROSTER
Detroit Lions,"Dalton, Andy PHI QB",,$1.10,1,2026 UFA,TAXI_SQUAD
Detroit Lions,"McKee, Tanner PHI QB",,$1.10,1,2025 R/F,TAXI_SQUAD
Detroit Lions,"Conner, James ARI RB",Questionable,$2.00,1,2026 UFA,TAXI_SQUAD
Detroit Lions,"Hunter, Jarquez LAR RB",,$1.06,3,2025 5.02,TAXI_SQUAD
Detroit Lions,"Johnson, Ty BUF RB",,$1.10,1,2026 UFA,TAXI_SQUAD
Detroit Lions,"Vaki, Sione DET RB",,$1.10,1,2026 UFA,TAXI_SQUAD
Detroit Lions,"Caldwell, Jeff KCC WR",,$0.98,4,2026 5.16,TAXI_SQUAD
Detroit Lions,"Slayton, Darius NYG WR",Questionable,$2.00,1,2026 UFA,TAXI_SQUAD
Detroit Lions,"Wetjen, Kaden PIT WR",,$0.94,3,2026 UDFA,TAXI_SQUAD
Detroit Lions,"Higbee, Tyler LAR TE",,$2.00,1,2026 UFA,TAXI_SQUAD
Detroit Lions,"Johnson, Theo NYG TE",,$1.29,2,2024 3.14,TAXI_SQUAD
Detroit Lions,"Gay, Matt LVR PK",,$1.10,1,2026 R/F,TAXI_SQUAD
Detroit Lions,"Shrader, Spencer IND PK",Questionable,$1.10,1,2026 R/F,TAXI_SQUAD
Detroit Lions,"Hamilton, Davon JAC DT",,$1.10,1,2026 R/F,TAXI_SQUAD
Detroit Lions,"Hand, Da'Shawn ATL DT",,$1.10,1,2026 R/F,TAXI_SQUAD
Detroit Lions,"Lopez, Roy ARI DT",,$1.10,1,2026 R/F,TAXI_SQUAD
Detroit Lions,"Norman-Lott, Omarr KCC DT",Questionable,$0.99,2,2025 UDFA,TAXI_SQUAD
Detroit Lions,"Onwuzurike, Levi DET DT",Questionable,$1.10,1,2026 R/F,TAXI_SQUAD
Detroit Lions,"Turner, Payton DET DE",,$1.10,1,2026 R/F,TAXI_SQUAD
Detroit Lions,"James, Shemar DAL LB",,$1.10,1,2026 ERFA,TAXI_SQUAD
Detroit Lions,"Kelly, Jack NYG LB",,$0.94,3,2026 UDFA,TAXI_SQUAD
Detroit Lions,"Lawson, Deontae PHI LB",,$0.94,3,2026 UDFA,TAXI_SQUAD
Detroit Lions,"Rodriguez, Malcolm DET LB",,$1.10,1,2026 R/F,TAXI_SQUAD
Detroit Lions,"McCreary, Roger DET CB",,$1.10,1,2026 R/F,TAXI_SQUAD
Detroit Lions,"Ward, Denzel CLE CB",Questionable,$1.10,1,2026 R/F,TAXI_SQUAD
Detroit Lions,"Woolen, Tariq PHI CB",,$1.10,1,2026 R/F,TAXI_SQUAD
Detroit Lions,"Clark, Chuck DET S",,$2.00,1,2026 UFA,TAXI_SQUAD
Detroit Lions,"Izien, Christian DET S",,$1.10,1,2026 R/F,TAXI_SQUAD
Detroit Lions,"Sigle, Marques SFO S",,$1.10,1,2026 R/F,TAXI_SQUAD
Detroit Lions,"Thomas, Jakobe MIN S",,$0.94,3,2026 UDFA,TAXI_SQUAD
Green Bay Packers,"Brissett, Jacoby ARI QB",,$12.66,1,2026 oEXT,ACTIVE_ROSTER
Green Bay Packers,"Minshew, Gardner ARI QB",,$1.10,1,2026 R/F,ACTIVE_ROSTER
Green Bay Packers,"Murray, Kyler MIN QB",,$24.40,2,2025 oEXT,ACTIVE_ROSTER
Green Bay Packers,"Johnson, Emmett KCC RB",,$1.14,4,2026 4.02,ACTIVE_ROSTER
Green Bay Packers,"Robinson, Bijan ATL RB",,$9.22,1,2023 1.02,ACTIVE_ROSTER
Green Bay Packers,"Walker III, Kenneth KCC RB",,$10.80,3,2026 oEXT,ACTIVE_ROSTER
Green Bay Packers,"Wilson, Emanuel SEA RB",,$3.50,1,2026 mEXT,ACTIVE_ROSTER
Green Bay Packers,"Boston, Denzel CLE WR",,$2.12,4,2026 2.05,ACTIVE_ROSTER
Green Bay Packers,"Chism, Efton NEP WR",,$1.10,1,2026 ERFA,ACTIVE_ROSTER
Green Bay Packers,"Harrison Jr., Marvin ARI WR",,$9.67,2,2024 1.01,ACTIVE_ROSTER
Green Bay Packers,"Horton, Tory SEA WR",Questionable,$1.11,3,2025 4.10,ACTIVE_ROSTER
Green Bay Packers,"Lane, Ja'Kobi BAL WR",,$1.11,4,2026 4.05,ACTIVE_ROSTER
Green Bay Packers,"Moore, D.J. BUF WR",,$22.26,1,2025 UFA,ACTIVE_ROSTER
Green Bay Packers,"Shaheed, Rashid SEA WR",,$5.96,2,2025 oEXT,ACTIVE_ROSTER
Green Bay Packers,"Tyson, Jordyn NOS WR",Questionable,$6.27,4,2026 1.05,ACTIVE_ROSTER
Green Bay Packers,"Waddle, Jaylen DEN WR",,$16.36,4,2025 oEXT,ACTIVE_ROSTER
Green Bay Packers,"Gadsden, Oronde LAC TE",,$1.04,3,2025 5.10,ACTIVE_ROSTER
Green Bay Packers,"Pitts, Kyle ATL TE",,$9.39,4,2024 iEXT,ACTIVE_ROSTER
Green Bay Packers,"Pineiro, Eddy SFO PK",,$1.10,1,2026 UFA,ACTIVE_ROSTER
Green Bay Packers,"Dickson, Michael SEA PN",,$1.10,1,2026 R/F,ACTIVE_ROSTER
Green Bay Packers,"Hargrave, Javon GBP DT",,$2.10,1,2026 UFA,ACTIVE_ROSTER
Green Bay Packers,"Harmon, Derrick PIT DT",,$1.91,3,2025 2.08,ACTIVE_ROSTER
Green Bay Packers,"Jones, Chris KCC DT",,$5.64,1,2025 UFA,ACTIVE_ROSTER
Green Bay Packers,"Newton, Jer'Zhan WAS DT",,$1.54,2,2024 3.01,ACTIVE_ROSTER
Green Bay Packers,"Williams, Milton NEP DT",,$5.00,1,2024 UFA,ACTIVE_ROSTER
Green Bay Packers,"Ezeiruaku, Donovan DAL DE",Questionable,$1.39,3,2025 3.07,ACTIVE_ROSTER
Green Bay Packers,"Herbig, Nick PIT DE",,$9.00,1,2026 ORFA5,ACTIVE_ROSTER
Green Bay Packers,"Moore, Derrick DET DE",,$1.41,4,2026 3.05,ACTIVE_ROSTER
Green Bay Packers,"Ojulari, Azeez ATL DE",,$2.42,2,2025 oEXT,ACTIVE_ROSTER
Green Bay Packers,"Phillips, Jaelan CAR DE",,$9.41,1,2025 UFA,ACTIVE_ROSTER
Green Bay Packers,"Ponder, Elijah NEP DE",,$1.10,1,2026 ERFA,ACTIVE_ROSTER
Green Bay Packers,"Van Ness, Lukas GBP DE",,$1.59,1,2023 3.02,ACTIVE_ROSTER
Green Bay Packers,"Bolton, Nick KCC LB",,$7.43,1,2025 UFA,ACTIVE_ROSTER
Green Bay Packers,"Dodson, Tyrel MIA LB",,$5.00,1,2026 mEXT,ACTIVE_ROSTER
Green Bay Packers,"Martin, Nick SFO LB",,$1.16,3,2025 4.03,ACTIVE_ROSTER
Green Bay Packers,"Strnad, Justin DEN LB",,$1.10,1,2026 R/F,ACTIVE_ROSTER
Green Bay Packers,"Tranquill, Drue KCC LB",,$2.10,1,2026 UFA,ACTIVE_ROSTER
Green Bay Packers,"Smith-Wade, Chau CAR CB",,$1.10,1,2026 R/F,ACTIVE_ROSTER
Green Bay Packers,"Still, Tarheeb LAC CB",,$3.34,1,2025 UFA,ACTIVE_ROSTER
Green Bay Packers,"Stokes, Eric LVR CB",,$1.10,1,2026 R/F,ACTIVE_ROSTER
Green Bay Packers,"Taylor, Alontae TEN CB",,$2.70,3,2026 UFA,ACTIVE_ROSTER
Green Bay Packers,"Branch, Brian DET S",Questionable,$3.70,1,2023 4.02^,ACTIVE_ROSTER
Green Bay Packers,"Brisker, Jaquan PIT S",,$2.09,2,2026 UFA,ACTIVE_ROSTER
Green Bay Packers,"Lake, Quentin LAR S",,$3.90,2,2026 UFA,ACTIVE_ROSTER
Green Bay Packers,"Williams, Evan GBP S",,$5.05,2,2025 UFA,ACTIVE_ROSTER
Green Bay Packers,"Larison, Lan NEP RB",,$0.99,2,2025 UDFA,TAXI_SQUAD
Green Bay Packers,"Eckley, Ryan BAL PN",,$0.99,4,2026 5.05,TAXI_SQUAD
Green Bay Packers,"Buchanan, Teddye BAL LB",Questionable,$0.99,2,2025 UDFA,TAXI_SQUAD
Green Bay Packers,"Woodaz, Wade HOU LB",,$0.94,3,2026 UDFA,TAXI_SQUAD
Green Bay Packers,"Abney, Keith DET CB",,$0.94,3,2026 UDFA,TAXI_SQUAD
Green Bay Packers,"Prysock, Ephesians SFO CB",,$0.94,3,2026 UDFA,TAXI_SQUAD
Green Bay Packers,"Ransom, Lathan CAR S",,$0.99,2,2025 UDFA,TAXI_SQUAD
Minnesota Vikings,"Darnold, Sam SEA QB",,$24.98,2,2025 iEXT,ACTIVE_ROSTER
Minnesota Vikings,"Jones, Daniel IND QB",Questionable,$11.88,2,2026 mEXT,ACTIVE_ROSTER
Minnesota Vikings,"Willis, Malik MIA QB",,$8.00,3,2026 ORFA2,ACTIVE_ROSTER
Minnesota Vikings,"Gainwell, Kenneth TBB RB",,$4.28,2,2026 mEXT,ACTIVE_ROSTER
Minnesota Vikings,"Neal, Devin NOS RB",Questionable,$1.12,3,2025 4.08,ACTIVE_ROSTER
Minnesota Vikings,"Price, Jadarian SEA RB",,$4.99,4,2026 1.07,ACTIVE_ROSTER
Minnesota Vikings,"Williams, Javonte DAL RB",,$12.42,3,2026 oEXT,ACTIVE_ROSTER
Minnesota Vikings,"Adams, Davante LAR WR",,$26.10,1,2026 UFA,ACTIVE_ROSTER
Minnesota Vikings,"Branch, Zachariah ATL WR",,$1.34,4,2026 3.08,ACTIVE_ROSTER
Minnesota Vikings,"Dell, Tank HOU WR",Questionable,$1.35,1,2023 3.15,ACTIVE_ROSTER
Minnesota Vikings,"Downs, Josh IND WR",,$1.98,1,2023 2.08,ACTIVE_ROSTER
Minnesota Vikings,"Nailor, Jalen LVR WR",,$1.10,1,2026 ERFA,ACTIVE_ROSTER
Minnesota Vikings,"Williams, Antonio WAS WR",,$2.39,4,2026 2.02,ACTIVE_ROSTER
Minnesota Vikings,"Henry, Hunter NEP TE",,$3.00,1,2026 UFA,ACTIVE_ROSTER
Minnesota Vikings,"LaPorta, Sam DET TE",Questionable,$3.10,1,2023 1.13+,ACTIVE_ROSTER
Minnesota Vikings,"Wright, Brock DET TE",Questionable,$1.10,1,2026 R/F,ACTIVE_ROSTER
Minnesota Vikings,"Fitzgerald, Ryan CAR PK",,$1.10,1,2026 ERFA,ACTIVE_ROSTER
Minnesota Vikings,"Myers, Jason SEA PK",,$2.00,1,2026 UFA,ACTIVE_ROSTER
Minnesota Vikings,"Araiza, Matt KCC PN",,$1.10,1,2026 R/F,ACTIVE_ROSTER
Minnesota Vikings,"Hekker, Johnny MIN PN",,$1.10,1,2026 R/F,ACTIVE_ROSTER
Minnesota Vikings,"Whelan, Daniel GBP PN",,$1.10,1,2026 ERFA,ACTIVE_ROSTER
Minnesota Vikings,"Davis, Jordan PHI DT",,$15.36,3,2025 iEXT,ACTIVE_ROSTER
Minnesota Vikings,"Drake-Rodriguez, Levi MIN DT",,$1.10,1,2026 ERFA,ACTIVE_ROSTER
Minnesota Vikings,"Murphy, Byron SEA DT",,$1.98,2,2024 2.06,ACTIVE_ROSTER
Minnesota Vikings,"Ojomo, Moro PHI DT",,$1.10,1,2025 R/F,ACTIVE_ROSTER
Minnesota Vikings,"Wharton, Tershawn CAR DT",Questionable,$5.63,3,2025 iEXT,ACTIVE_ROSTER
Minnesota Vikings,"Bonitto, Nik DEN DE",,$5.93,2,2024 iEXT,ACTIVE_ROSTER
Minnesota Vikings,"Jordan, Cameron NOS DE",,$1.10,1,2025 R/F,ACTIVE_ROSTER
Minnesota Vikings,"Parsons, Micah GBP DE",Questionable,$9.92,3,2024 iEXT,ACTIVE_ROSTER
Minnesota Vikings,"Rousseau, Gregory BUF DE",,$12.67,1,2024 iEXT,ACTIVE_ROSTER
Minnesota Vikings,"Landman, Nate LAR LB",,$1.10,1,2025 R/F,ACTIVE_ROSTER
Minnesota Vikings,"Oluokun, Foyesade JAC LB",,$12.58,2,2026 oEXT,ACTIVE_ROSTER
Minnesota Vikings,"Wilson, Eric MIN LB",,$5.77,1,2026 SRFA,ACTIVE_ROSTER
Minnesota Vikings,"DeJean, Cooper PHI CB",,$1.24,2,2024 3.17,ACTIVE_ROSTER
Minnesota Vikings,"Hill, Daxton CIN CB",,$2.00,1,2026 UFA,ACTIVE_ROSTER
Minnesota Vikings,"Jackson, Michael CAR CB",,$5.10,1,2026 UFA,ACTIVE_ROSTER
Minnesota Vikings,"Phillips, Clark ATL CB",,$1.10,1,2026 R/F,ACTIVE_ROSTER
Minnesota Vikings,"Stingley Jr., Derek HOU CB",,$2.25,3,2026 UFA,ACTIVE_ROSTER
Minnesota Vikings,"Valentine, Carrington GBP CB",,$1.10,1,2026 R/F,ACTIVE_ROSTER
Minnesota Vikings,"Elliott, DeShon PIT S",Questionable,$7.70,2,2025 RRFA,ACTIVE_ROSTER
Minnesota Vikings,"Joseph, Kerby DET S",Questionable,$4.10,1,2026 UFA,ACTIVE_ROSTER
Minnesota Vikings,"Nubin, Tyler NYG S",,$1.38,2,2024 3.08,ACTIVE_ROSTER
Minnesota Vikings,"Winfield, Antoine TBB S",,$15.43,2,2024 UFA,ACTIVE_ROSTER
Minnesota Vikings,"Cook, Brady NYJ QB",,$1.10,1,2026 R/F,TAXI_SQUAD
Minnesota Vikings,"Levis, Will TEN QB",,$1.10,1,2026 R/F,TAXI_SQUAD
Minnesota Vikings,"Singletary, Devin NYG RB",,$1.10,1,2026 R/F,TAXI_SQUAD
Minnesota Vikings,"Brown, Dyami WAS WR",,$1.10,1,2026 R/F,TAXI_SQUAD
Minnesota Vikings,"Turpin, KaVontae DAL WR",,$1.10,1,2026 R/F,TAXI_SQUAD
Minnesota Vikings,"Westbrook-Ikhine, Nick IND WR",,$1.10,1,2026 R/F,TAXI_SQUAD
Minnesota Vikings,"Bartholomew, Gavin MIN TE",Questionable,$0.99,2,2025 UDFA,TAXI_SQUAD
Minnesota Vikings,"Latu, Cameron PHI TE",,$1.10,1,2026 R/F,TAXI_SQUAD
Minnesota Vikings,"Raridon, Eli NEP TE",,$1.03,4,2026 4.17,TAXI_SQUAD
Minnesota Vikings,"Thorson, Brett MIN PN",,$0.94,3,2026 UDFA,TAXI_SQUAD
Minnesota Vikings,"Turner, Shemar CHI DT",Questionable,$1.07,3,2025 5.01,TAXI_SQUAD
Minnesota Vikings,"Browning, Baron ARI DE",,$1.10,1,2026 R/F,TAXI_SQUAD
Minnesota Vikings,"Odeyingbo, Dayo CHI DE",Questionable,$1.10,1,2026 R/F,TAXI_SQUAD
Minnesota Vikings,"Uche, Josh MIA DE",,$1.10,1,2026 UFA,TAXI_SQUAD
Minnesota Vikings,"Milano, Matt BUF LB",,$1.10,1,2026 R/F,TAXI_SQUAD
Minnesota Vikings,"Demmings, Charles MIN CB",,$0.94,3,2026 UDFA,TAXI_SQUAD
Minnesota Vikings,"Duck, Storm MIA CB",Questionable,$1.10,1,2026 R/F,TAXI_SQUAD
Minnesota Vikings,"Fulton, Kristian KCC CB",,$1.10,1,2026 R/F,TAXI_SQUAD
Minnesota Vikings,"Igbinosun, Davison BUF CB",,$0.94,3,2026 UDFA,TAXI_SQUAD
Minnesota Vikings,"Jones, Jaylon IND CB",,$1.10,1,2026 R/F,TAXI_SQUAD
Atlanta Falcons,"Fields, Justin KCC QB",,$10.71,4,2024 iEXT,ACTIVE_ROSTER
Atlanta Falcons,"McCarthy, J.J. MIN QB",,$4.87,2,2024 1.06,ACTIVE_ROSTER
Atlanta Falcons,"Nix, Bo DEN QB",Questionable,$1.69,2,2024 2.12,ACTIVE_ROSTER
Atlanta Falcons,"Richardson, Anthony IND QB",,$10.93,1,2023 1.01,ACTIVE_ROSTER
Atlanta Falcons,"Smith, Geno NYJ QB",,$8.36,1,2025 B/R,ACTIVE_ROSTER
Atlanta Falcons,"Allen, Braelon NYJ RB",,$1.25,2,2024 3.16,ACTIVE_ROSTER
Atlanta Falcons,"Stevenson, Rhamondre NEP RB",,$5.28,1,2026 oEXT,ACTIVE_ROSTER
Atlanta Falcons,"White, Rachaad WAS RB",,$3.75,1,2025 ORFA3,ACTIVE_ROSTER
Atlanta Falcons,"Brown, A.J. NEP WR",,$36.61,1,2024 oEXT,ACTIVE_ROSTER
Atlanta Falcons,"Bryant, Pat DEN WR",,$1.19,3,2025 3.21,ACTIVE_ROSTER
Atlanta Falcons,"Dike, Chimere TEN WR",,$1.10,1,2026 ERFA,ACTIVE_ROSTER
Atlanta Falcons,"Hill, Tyreek FA WR",Questionable,$6.65,2,2026 mEXT,ACTIVE_ROSTER
Atlanta Falcons,"Hurst, Ted TBB WR",,$1.39,4,2026 3.06,ACTIVE_ROSTER
Atlanta Falcons,"McCaffrey, Luke WAS WR",,$4.09,4,2025 iEXT,ACTIVE_ROSTER
Atlanta Falcons,"Noel, Jaylin HOU WR",,$1.46,3,2025 3.04,ACTIVE_ROSTER
Atlanta Falcons,"Washington, Parker JAC WR",,$12.00,4,2026 SRFA,ACTIVE_ROSTER
Atlanta Falcons,"Wilson, Michael ARI WR",,$25.00,3,2026 SRFA,ACTIVE_ROSTER
Atlanta Falcons,"Arroyo, Elijah SEA TE",,$1.38,3,2025 3.08,ACTIVE_ROSTER
Atlanta Falcons,"Delp, Oscar NOS TE",,$1.15,4,2026 4.01,ACTIVE_ROSTER
Atlanta Falcons,"Engram, Evan DEN TE",,$11.50,1,2024 oEXT,ACTIVE_ROSTER
